item_id,domain,subtopic,topic,difficulty,model_name,backend,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice_label,explanation,rater_id,topic_relevance,semantic_correctness,answer_key_correctness,question_clarity,acceptable,notes
Q001,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,What is the correct way to declare an integer variable in C++?,int x;,integer x;,int: x;,x is integer;,A,"In C++, integer variables are declared using the keyword 'int' followed by the variable name and a semicolon.",Expert1,,,,,,
Q002,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,Which of the following data types can store decimal numbers?,int,char,float,bool,C,"'float' is used for single-precision floating-point numbers, which can handle decimal values.",Expert1,,,,,,
Q003,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,What does the 'const' keyword do in C++?,It declares a variable that can only be assigned once.,It makes the variable global.,It changes the data type.,It declares a function.,A,'const' is used to declare a constant variable that cannot be modified after initialization.,Expert1,,,,,,
Q004,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,What is the scope of a local variable in a function?,It is accessible only within the function.,It is accessible throughout the program.,It is accessible only in the main function.,It is accessible only if declared with 'global' keyword.,A,A local variable is declared inside a function and can only be accessed within that function's scope.,Expert1,,,,,,
Q005,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,How do you declare a character variable in C++?,char c = 'a';,"char c = ""a"";","string c = ""a"";",int c = 'a';,A,"In C++, characters are declared with 'char' and assigned a single character using single quotes.",Expert1,,,,,,
Q006,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"What will be the output of the following C++ code?

int x = 5;
if (x > 3) {
  if (x < 10) {
    cout << ""A"";
  } else {
    cout << ""B"";
  }
} else {
  cout << ""C"";
}","The output will be ""A"".","The output will be ""B"".","The output will be ""C"".",The output will be nothing.,A,"The code uses nested if-else statements. x is 5, which is greater than 3, so the first if block executes. Then, 5 is less than 10, so the inner if outputs 'A'.",Expert1,,,,,,
Q007,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"Consider the following C++ for loop:

for (int i = 0; i < 10; i++) {
  if (i % 2 == 0) {
    cout << i << "" "";
  }
}

What does the loop output?",0 2 4 6 8,0 1 2 3 4 5 6 7 8 9,1 3 5 7 9,10,A,"The for loop initializes i to 0 and increments by 1 each iteration. The condition checks if i is less than 10. Inside, it checks if i is even and prints it. Thus, it prints even numbers from 0 to 8.",Expert1,,,,,,
Q008,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,Which of the following could cause an infinite loop in a C++ while loop?,"while (true) { cout << ""Loop""; }",while (condition) { // code that eventually makes condition false },while (counter < 10) { counter++; },while (input != 'quit') { // code that may change input },A,": The first option has a condition that always evaluates to true (using while(true)), so it will run indefinitely until interrupted. The others have conditions that can eventually become false.",Expert1,,,,,,
Q009,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"In a C++ switch statement, which of the following is true regarding fallthrough?",The compiler automatically inserts a 'break' statement after each case.,Fallthrough is always considered an error by the compiler.,"If no 'break' is specified, execution continues to the next case.",Switch statements cannot have multiple cases with the same value.,C,"In C++, if you omit the 'break' statement at the end of a case, the program will fall through to the next case and execute its code as well. This is intentional and not an error, unless disabled by compiler flags.",Expert1,,,,,,
Q010,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,What does the 'continue' statement do in a C++ loop?,It immediately terminates the loop and exits to the next statement after the loop.,It skips the remaining code in the current iteration and proceeds to the next iteration.,It declares a new variable for the loop.,It changes the loop condition to true.,B,The 'continue' statement in C++ loops skips the rest of the current iteration and jumps to the next iteration. It does not exit the loop but moves to the next condition check.,Expert1,,,,,,
Q011,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,What is the purpose of a function declaration in C++?,To define the function's behavior,To specify the function's interface,To allocate memory for the function,To call the function,B,"A function declaration in C++ informs the compiler about the function's name, parameters, and return type without providing the implementation.",Expert1,,,,,,
Q012,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,"Consider a function call: void modify(int x); If x is passed by value, what happens inside the function?",It modifies the original variable,"It creates a copy, so original is unchanged",It throws an error,It passes the address,B,"In C++, when a parameter is passed by value, a copy is made, so changes inside the function do not affect the original variable.",Expert1,,,,,,
Q013,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,Which of the following is true about a function that returns an int in C++?,It must return a value in all code paths,It can return void if needed,It can return multiple values,It cannot return a reference,A,"In C++, if a function is declared to return a type (e.g., int), it must return a value of that type in every reachable code path; otherwise, the compiler will give an error.",Expert1,,,,,,
Q014,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,"When a function parameter is declared as const reference, what does it allow?",Modifying the argument without copying,Passing large objects efficiently without modification,Modifying the argument and passing large objects efficiently,Reading the argument without modification and without copying,D,"A const reference allows the function to accept arguments of larger types or classes without copying, and it ensures the argument is not modified within the function.",Expert1,,,,,,
Q015,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,"In C++, default arguments can be specified in which part of the function declaration?","Only in the function declaration, not definition",Only in the function definition,"In the function declaration or definition, but typically in declaration",Must be in the function header before parameters,D,"Default arguments in C++ are specified in the function header (declaration or definition), and they must be default for later parameters, but they can be placed in the declaration.",Expert1,,,,,,
Q016,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"Which of the following correctly accesses the third element of an array arr with 5 elements, where indexing starts at 0?",arr[2],arr[3],arr[0] + 2,arr[1] + 1,A,"C++ uses zero-based indexing, so the third element is at index 2.",Expert1,,,,,,
Q017,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"Given a C-string char str[] = ""hello"";, which function should be used to determine the length of the string?",strlen(str),sizeof(str),str.length(),str.size(),A,"C-strings require the use of strlen() to find the length, as it accounts for the null terminator.",Expert1,,,,,,
