item_id,domain,subtopic,topic,difficulty,model_name,backend,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice_label,explanation,rater_id,topic_relevance,semantic_correctness,answer_key_correctness,question_clarity,acceptable,notes
Q001,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,What is the correct syntax for declaring a function in C++ that takes an integer parameter and returns a double?,double myFunction(int x);,double myFunction(x: int);,function double myFunction(int x);,double myFunction(int x) { ... },A,C++ function declarations follow the syntax: return_type function_name(parameters);,Expert1,,,,,,
Q002,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,What happens when an array is passed to a function in C++?,The array is copied element-wise,The array decays into a pointer to its first element,The function receives a copy of the array's address,The array elements are automatically resized,B,"Arrays in C++ decay to pointers when passed to functions, losing size information",Expert1,,,,,,
Q003,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,Which statement correctly describes call by reference in C++ functions?,The function receives a copy of the original variable,The function can modify the original variable outside the function,The function always returns the modified value,The function uses a pointer to the original variable,B,Call by reference allows the function to modify the original variable directly,Expert1,,,,,,
Q004,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,What is the effect of a function that does not have a return statement and is declared to return a non-void type?,It automatically returns 0,It returns a garbage value,It causes a compiler error,It returns a null pointer,C,C++ requires a return statement for non-void functions; omission leads to compiler errors,Expert1,,,,,,
Q005,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,Which keyword enables a function to modify the original variable passed as a parameter in C++?,const,volatile,reference,pointer,C,The 'reference' keyword (via & in parameter declaration) enables call by reference,Expert1,,,,,,
Q006,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"What is the result of accessing arr[5] in a C++ array declared as int arr[5] = {0, 1, 2, 3, 4};?",Undefined behavior,Value 4,Value 5,Compile-time error,A,Accessing an index beyond the array bounds (like 5 for a 5-element array) leads to undefined behavior in C++.,Expert1,,,,,,
Q007,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,Which function correctly copies the contents of one C-string to another?,"strcpy(dest, src)","strcat(dest, src)","strlen(dest, src)","strcmp(dest, src)",A,strcpy() copies the entire source C-string (including the null terminator) into the destination array.,Expert1,,,,,,
Q008,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"What is the output of the following code? char str[10]; strcpy(str, ""hello""); printf(""%d"", strlen(str));",5,6,10,Error,A,"strlen() returns the length of the string without the null terminator, so ""hello"" has length 5.",Expert1,,,,,,
Q009,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,Which operation is NOT valid for C-strings in C++?,Using += to concatenate strings,Comparing with == operator,Passing to printf() function,Using strlen() to get length,A,"C-strings cannot be compared with ==; this compares memory addresses, not contents. Use strcmp() instead.",Expert1,,,,,,
Q010,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,Which statement about C++ string literals is true?,They are stored as char arrays with a null terminator,They can be modified in-place,They are automatically resized to fit content,They are immutable and cannot be changed,A,String literals are stored as null-terminated char arrays in read-only memory.,Expert1,,,,,,
Q011,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,"When a derived class object is instantiated, which of the following correctly describes the order of constructor execution?","Base class constructor, then member object constructors, then derived class constructor","Derived class constructor, then base class constructor, then member object constructors","Member object constructors, then base class constructor, then derived class constructor","Base class constructor, then derived class constructor, then member object constructors",A,"In C++, when a derived class object is created, the base class constructor is called first to initialize inherited members, followed by member object constructors (if any), and finally the derived class constructor.",Expert1,,,,,,
Q012,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,Which of the following correctly describes the role of access specifiers in encapsulation for a class's private members?,Private members can be accessed directly by derived classes,Private members can only be accessed through public member functions,Private members are accessible to all code in the same namespace,Private members are visible in the class's implementation but not in its interface,B,"Encapsulation restricts direct access to private members. They must be accessed via public methods or properties, ensuring controlled interaction with the class's internal state.",Expert1,,,,,,
Q013,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,Consider a class with both a default constructor and a parameterized constructor. Which scenario will trigger the default constructor?,When an object is declared with explicit parameters,When an object is declared without any parameters,When the parameterized constructor is explicitly called,When the class is inherited by another class,B,"The default constructor is automatically called when an object is instantiated without arguments. If parameters are provided, the parameterized constructor is invoked instead.",Expert1,,,,,,
Q014,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,Which statement accurately describes the behavior of a static member function in a C++ class?,It can access non-static data members directly,It can only access static data members and other static functions,It can modify the class's instance variables,It requires an object instance to be called,B,Static member functions cannot access non-static members because they do not operate on a specific instance of the class. They can only interact with static members and other static functions.,Expert1,,,,,,
Q015,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,"When initializing an object with a constructor that has member initializer list, which part is executed first?",The constructor's function body,The member initializer list,The base class constructor,The destructor,B,The member initializer list is processed before the constructor's function body to ensure members are initialized correctly before any code in the constructor runs.,Expert1,,,,,,
Q016,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,How do you assign the value 5 to a variable x in Python?,x = 5,x == 5,x := 5,"assign(5, x)",A,"In Python, the equals sign (=) is used for assignment.",Expert1,,,,,,
Q017,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,Which of the following is a boolean data type in Python?,True,1,"""True""",0,A,Boolean values in Python are represented as True or False.,Expert1,,,,,,
Q018,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,What is the data type of the value 3.14 in Python?,int,float,str,bool,B,Values with decimal points are classified as float in Python.,Expert1,,,,,,
Q019,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,Which of the following is a string in Python?,"""hello""",hello,'hello',123,A,Strings in Python are enclosed in either double or single quotes.,Expert1,,,,,,
Q020,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,What is the result of 5 + 3 in Python?,8,8.0,53,Error,A,Adding two integers in Python results in an integer.,Expert1,,,,,,
Q021,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,What happens if multiple elif conditions are true in a chain of if/elif/else statements?,Only the first true condition is executed,All true conditions are executed,The last true condition is executed,None of the conditions are executed,A,"Python evaluates elif conditions in order and executes the first true one, skipping the rest.",Expert1,,,,,,
Q022,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,Which scenario will cause an infinite loop in a while loop?,The condition is always true,The condition is false initially,The loop has no break statement,The loop variable is not updated,A,A while loop runs indefinitely if its condition never becomes false.,Expert1,,,,,,
Q023,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,What error occurs if a for loop's code block is not properly indented?,SyntaxError: invalid syntax,IndentationError: unexpected indent,NameError: name not defined,TypeError: unsupported operand type,A,Python requires consistent indentation for code blocks following loops and conditionals.,Expert1,,,,,,
Q024,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,Which statement accurately describes the difference between for and while loops?,"For loops are for iterating over sequences, while loops are for conditions","While loops are for iterating over sequences, for loops are for conditions",For loops require a condition to execute,While loops are always faster than for loops,A,"For loops iterate over iterable objects, while while loops execute as long as a condition is true.",Expert1,,,,,,
Q025,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,"In nested loops, how does the inner loop behave relative to the outer loop?",The inner loop completes fully for each iteration of the outer loop,The inner loop runs once per outer loop iteration,The inner loop skips iterations if the outer loop pauses,The inner loop cannot be nested inside another loop,A,Nested loops execute the inner loop completely for each single iteration of the outer loop.,Expert1,,,,,,
Q026,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,"What happens when a function with default parameters is called multiple times, using the same default value?",Default values are re-evaluated each time the function is called,Default values are evaluated once when the function is defined,Default values are randomly generated for each call,Default values are stored in a separate memory location for each call,B,"Default parameters are evaluated once when the function is defined, not each time it's called. This means mutable default arguments (like lists) can lead to unexpected behavior.",Expert1,,,,,,
Q027,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,Which scope rule applies to a variable modified inside a nested function in Python?,The variable is treated as global,The variable is treated as local unless declared with nonlocal,The variable is automatically inherited from the outer scope,The variable is shadowed and overrides the outer scope's value,B,"In Python, assigning a value to a variable inside a nested function treats it as local unless explicitly declared with nonlocal, which refers to the nearest outer scope.",Expert1,,,,,,
