item_id,domain,subtopic,topic,difficulty,model_name,backend,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice_label,explanation,rater_id,topic_relevance,semantic_correctness,answer_key_correctness,question_clarity,acceptable,notes
Q001,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"What will be the output of the following C++ code?
int x = 5;
if (x > 3) {
  if (x < 10) {
    cout << ""A"";
  }
  cout << ""B"";
}

A. A
B. B
C. AB
D. Nothing",A,B,AB,Nothing,C,"The inner if executes, printing 'A', then 'B' is printed outside the inner if but inside the outer if.",Expert1,,,,,,
Q002,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,Consider the loop: for (int i = 0; i < 10; ++i) { if (i == 5) continue; cout << i; } What sequence is printed?,012346789,0123456789,01234,0123456789 without 5,C,"The continue statement skips the rest of the loop body for i=5, so 5 is not printed.",Expert1,,,,,,
Q003,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,Analyze this while loop: int j = 0; while (j < 5) { cout << j; ++j; if (j == 3) break; } What is printed?,012,0123,01234,012345,C,"The break statement is inside the loop but after incrementing j, so it breaks after printing 3, but j becomes 3 before the break.",Expert1,,,,,,
Q004,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"Which statement correctly describes the behavior of the following switch case?
int k = 2;
switch (k) {
  case 1: cout << 1; break;
  case 2: cout << 2; case 3: cout << 3; break;
  default: cout << 0;
}",Outputs 2 only,Outputs 23,Outputs 230,Outputs 234,B,"Fallthrough occurs after case 2 since there's no break, so case 3 is also executed.",Expert1,,,,,,
Q005,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,"What does the following code fragment achieve?
for (int m = 0; m < 10; m++) {
  if (m % 2 == 0) continue;
  cout << m;
}",Prints all even numbers from 0 to 9,Prints all odd numbers from 1 to 9,Prints nothing,Prints numbers from 0 to 9 twice,B,"The continue statement skips even numbers, so only odd numbers are printed.",Expert1,,,,,,
Q006,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,How should a function be declared to take an integer by reference without modifying it?,string func(int&),string func(int &),string func(const int&),string func(int *x),C,"Using const reference ensures the function does not modify the parameter, promoting safety.",Expert1,,,,,,
Q007,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,"After calling the function, what is the value of 'x' in the main function?",10,20,undefined,error,B,"Call by reference allows the function to modify the original variable, so changes are reflected in the caller.",Expert1,,,,,,
Q008,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,What happens if a non-void function in C++ has no return statement?,It returns 0,It returns a garbage value,It causes a compilation error,It returns NULL,C,"Non-void functions must have a return statement; otherwise, the code is invalid.",Expert1,,,,,,
Q009,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,Which of the following is true about call by reference in C++?,Changes to the parameter affect the caller's variable,Changes to the parameter do not affect the caller,It uses more memory than call by value,It can only be used with pointers,A,"In call by reference, the function receives an alias to the caller's variable, so modifications are reflected in the caller.",Expert1,,,,,,
Q010,C++ Programming,Functions,"C++ Programming: functions (declaration, parameters, return values, call by value/reference)",medium,,local,"Given the function declaration: void printMessage(string msg = ""Hello""); which call is valid and uses the default parameter?","printMessage(""World"")",printMessage(),printMessage(10),printMessage(nullptr),B,"The call printMessage() uses the default parameter value 'Hello', as specified in the function declaration.",Expert1,,,,,,
Q011,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"What does the following C-string indexing attempt do if the string is ""hello""?",It sets c to 'o',It sets c to '\0',It causes undefined behavior,It sets c to the null character,C,Accessing an index beyond the string length in a C-string leads to undefined behavior because there's no bounds checking.,Expert1,,,,,,
Q012,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,Which of the following is a key advantage of using std::string over C-strings?,std::string is more memory efficient,std::string handles dynamic resizing automatically,std::string is faster for concatenation,std::string uses less code for initialization,B,"std::string provides automatic memory management and dynamic resizing, making it safer and easier to use compared to C-strings which require manual handling.",Expert1,,,,,,
Q013,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"Given char str[6] = ""hello""; // null terminator included
What is the length of str (the number of characters before null)?",5,6,4,7,A,"In C-strings, the length is the number of characters before the null terminator, so ""hello"" has 5 characters and the null terminator is at index 5.",Expert1,,,,,,
Q014,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"When working with C-strings, what is the purpose of the null character '\0'?",To mark the end of the string,To increase string length,To prevent string concatenation,To allow indexing beyond length,A,"The null character '\0' is used to terminate C-strings, indicating the end of the string to functions that process it.",Expert1,,,,,,
Q015,C++ Programming,Arrays & Strings,"C++ Programming: arrays and strings (indexing, C-strings, basic string operations)",medium,,local,"Consider the following code:
char arr[3][5] = {""abc"", ""def""};
What is the value of arr[0][2]?",'c','\0','a',Error,A,"The string ""abc"" is stored with a null terminator, but arr[0][2] accesses the third character, which is 'c', not the null terminator at index 3.",Expert1,,,,,,
Q016,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,"In C++, if a class has no explicitly defined constructor, what does the compiler provide?",A default constructor that initializes all members to zero.,A default constructor that can be called with no arguments and does nothing.,"No constructor, so objects cannot be created.",A constructor with default arguments for all parameters.,B,"The compiler provides a default constructor when none is defined, which takes no arguments and performs no initialization, relying on member-wise initialization which may leave built-in types undefined.",Expert1,,,,,,
Q017,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,Which of the following is a key benefit of encapsulation in C++ OOP?,It allows easy access to data from anywhere.,It reduces the coupling between classes.,It enables multiple inheritance.,It automatically provides polymorphism.,B,"Encapsulation hides implementation details and restricts access to data, which minimizes dependencies between classes and reduces coupling.",Expert1,,,,,,
Q018,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,"When creating an object of a class in C++, what is guaranteed to be called?",The destructor.,"A constructor if one is defined, otherwise nothing.",The default constructor.,"A constructor if one is defined, otherwise the default constructor.",D,"If a constructor is defined, it must be called; if not, the compiler provides a default constructor, ensuring that an object is properly initialized upon creation.",Expert1,,,,,,
Q019,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,Consider a class constructor that takes a reference parameter. Which statement is true?,The constructor cannot be called with a temporary object.,The constructor can be called with any object.,The parameter must be passed by value.,The constructor is not allowed to take reference parameters.,A,"Reference parameters require an existing object, so the constructor cannot be invoked with temporary objects or literals that are not objects.",Expert1,,,,,,
