item_id,domain,subtopic,topic,difficulty,model_name,backend,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice_label,explanation,rater_id,topic_relevance,semantic_correctness,answer_key_correctness,question_clarity,acceptable,notes
Q001,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,Which is the correct syntax to declare an integer variable in C++?,int x;,integer x;,int x = 0;,var x;,A,"In C++, variables are declared with the type followed by the name and a semicolon.",Expert1,1,1,0,1,0,"Relevant, semantically correct, clear question, and acceptable."
Q002,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,Which data type is used to store decimal numbers in C++?,int,float,char,double,B,The float data type is used for single-precision floating-point numbers.,Expert1,1,1,1,1,1,
Q003,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,Which statement correctly declares a constant in C++?,const int x = 5;,int const x = 5;,constant int x = 5;,int x = 5; const,A,The const keyword must be placed before the type in a declaration.,Expert1,1,1,0,1,0,"Answer key issue: both ""const int x = 5;"" and ""int const x = 5;"" are valid C++ syntax, so the item is ambiguous."
Q004,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,What is the scope of a variable declared inside a function in C++?,Global scope,Local scope,Static scope,Namespace scope,B,Variables declared inside a function are accessible only within that function.,Expert1,1,1,1,1,1,
Q005,C++ Programming,Variables & Data Types,"C++ Programming: variables and data types (declaration, int/float/char, const, scope)",easy,,local,Which data type is used to store single characters in C++?,char,int,float,string,A,The char data type is used to represent single characters in C++.,Expert1,1,1,1,1,1,
Q006,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,What is the primary difference between a for loop and a while loop in C++?,"For loops are used for definite iterations, while loops are for indefinite iterations.",For loops execute faster than while loops.,While loops cannot use a loop variable.,For loops require a condition check in the loop body.,A,"For loops are typically used when the number of iterations is known beforehand, while while loops are used when the loop condition depends on external factors.",Expert2,1,1,1,1,1,
Q007,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,Which of the following correctly describes the behavior of a switch statement in C++?,It executes all case blocks that match the expression value.,It requires a break statement after each case to prevent fall-through.,It can only handle integer types.,It automatically increments the expression value after each case.,B,"Switch statements require explicit break statements to prevent fall-through, where execution continues to subsequent cases unintentionally.",Expert2,1,1,1,1,1,
Q008,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,What does the continue statement do in a loop in C++?,It terminates the loop and transfers control to the loop's next iteration.,It skips the remaining code in the current iteration and proceeds to the next iteration.,It exits the program immediately.,It evaluates the loop condition again without executing the loop body.,B,The continue statement skips the rest of the loop body for the current iteration and immediately starts the next iteration.,Expert2,1,1,1,1,1,
Q009,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,What happens if a switch case block lacks a break statement in C++?,The program will compile with a warning.,Execution falls through to the next case block.,The switch statement will throw an error.,The program will terminate immediately.,B,"Missing break statements in switch cases cause fall-through, where execution continues to subsequent case blocks unless explicitly stopped.",Expert2,1,1,1,1,1,
Q010,C++ Programming,Control Structures,"C++ Programming: control structures (if/else, for, while, switch, break/continue)",medium,,local,How do break and continue statements differ in a loop in C++?,"Break exits the loop, while continue skips to the loop's next iteration.",Both statements terminate the loop immediately.,"Continue exits the loop, while break skips to the next iteration.","Break is only allowed in for loops, while continue is only allowed in while loops.",A,"Break exits the loop entirely, whereas continue skips the remaining code in the current iteration and proceeds to the next loop iteration.",Expert2,1,1,1,1,1,
